"age"	"workclass"	"fntwgt"	"education"	"educationNum"	"maritalStatus"	"occupation"	"relationship"	"race"	"sex"	"capitalGain"	"capitalLoss"	"hoursPerWeek"	"nativeCountry"	"salary"	"salres"
20	"Private"	528616	"5th-6th"	3	"Never-married"	"Other-service"	"Other-relative"	"White"	"Male"	0	0	40	"Mexico"	"<=50K"	0
21	"Private"	253612	"Some-college"	10	"Never-married"	"Prof-specialty"	"Own-child"	"White"	"Female"	1055	0	32	"United-States"	"<=50K"	0
22	"Private"	347530	"HS-grad"	9	"Separated"	"Other-service"	"Unmarried"	"Black"	"Female"	0	0	35	"United-States"	"<=50K"	0
30	"Private"	137076	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
19	"Private"	533147	"HS-grad"	9	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Male"	0	0	30	"United-States"	"<=50K"	0
45	"Private"	117556	"Some-college"	10	"Divorced"	"Adm-clerical"	"Unmarried"	"Black"	"Female"	0	0	32	"United-States"	"<=50K"	0
31	"Federal-gov"	34862	"Assoc-acdm"	12	"Married-civ-spouse"	"Sales"	"Husband"	"Asian-Pac-Islander"	"Male"	0	0	40	"United-States"	"<=50K"	0
51	"Private"	172281	"Bachelors"	13	"Separated"	"Sales"	"Not-in-family"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
29	"Private"	183111	"Assoc-voc"	11	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
57	"Private"	108426	"HS-grad"	9	"Married-civ-spouse"	"Other-service"	"Husband"	"Black"	"Male"	0	0	48	"England"	"<=50K"	0
49	"Self-emp-not-inc"	43479	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
49	"Private"	165134	"Assoc-voc"	11	"Never-married"	"Exec-managerial"	"Unmarried"	"White"	"Female"	0	0	35	"Columbia"	"<=50K"	0
26	"Private"	53833	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	42	"United-States"	"<=50K"	0
41	"Private"	221947	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	56	"United-States"	">50K"	1
48	"Private"	152953	"7th-8th"	4	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	32	"Dominican-Republic"	"<=50K"	0
85	"Self-emp-not-inc"	166027	"HS-grad"	9	"Widowed"	"Sales"	"Not-in-family"	"White"	"Female"	0	0	50	"United-States"	"<=50K"	0
44	"Private"	367749	"Bachelors"	13	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	0	0	45	"Mexico"	"<=50K"	0
27	"Private"	178709	"Masters"	14	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
43	"Private"	186144	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
25	"Private"	167031	"Some-college"	10	"Never-married"	"Other-service"	"Other-relative"	"Other"	"Female"	0	0	25	"Ecuador"	"<=50K"	0
26	"Private"	284250	"HS-grad"	9	"Never-married"	"Craft-repair"	"Unmarried"	"Black"	"Female"	0	0	40	"United-States"	"<=50K"	0
37	"Private"	167415	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
37	"Private"	405723	"1st-4th"	2	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"Mexico"	"<=50K"	0
24	"Private"	194604	"Bachelors"	13	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	0	0	15	"United-States"	"<=50K"	0
27	"Private"	359155	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	0	0	40	"United-States"	">50K"	1
20	"Private"	36235	"Assoc-acdm"	12	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
42	"Self-emp-inc"	27187	"Masters"	14	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"White"	"Male"	0	0	60	"United-States"	">50K"	1
34	"Local-gov"	213722	"HS-grad"	9	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	0	0	57	"United-States"	">50K"	1
31	"Private"	93106	"Assoc-voc"	11	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
28	"Private"	179512	"HS-grad"	9	"Separated"	"Exec-managerial"	"Unmarried"	"White"	"Female"	0	0	50	"United-States"	"<=50K"	0
36	"Private"	200360	"Some-college"	10	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
49	"Private"	40000	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	4064	0	44	"United-States"	"<=50K"	0
51	"Self-emp-not-inc"	256963	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	60	"United-States"	"<=50K"	0
29	"Local-gov"	169544	"Some-college"	10	"Never-married"	"Protective-serv"	"Own-child"	"White"	"Male"	0	0	48	"United-States"	"<=50K"	0
36	"Private"	218689	"Masters"	14	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	1977	50	"United-States"	">50K"	1
30	"Private"	115963	"11th"	7	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
23	"Private"	239539	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Own-child"	"Asian-Pac-Islander"	"Male"	0	0	40	"Philippines"	"<=50K"	0
43	"Self-emp-inc"	175485	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
57	"Private"	236944	"HS-grad"	9	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"Black"	"Male"	0	0	40	"United-States"	">50K"	1
51	"Local-gov"	153908	"Masters"	14	"Divorced"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
32	"Private"	216145	"Some-college"	10	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	4650	0	45	"United-States"	"<=50K"	0
63	"Private"	176696	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
24	"Private"	121313	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
51	"Self-emp-inc"	166386	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"Asian-Pac-Islander"	"Female"	0	0	35	"Taiwan"	"<=50K"	0
34	"Private"	157747	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	0	0	45	"United-States"	">50K"	1
20	"Private"	82777	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
49	"Private"	105449	"Bachelors"	13	"Never-married"	"Priv-house-serv"	"Not-in-family"	"White"	"Male"	0	0	25	"United-States"	"<=50K"	0
38	"Federal-gov"	338320	"Prof-school"	15	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	1977	50	"United-States"	">50K"	1
35	"Private"	337286	"Masters"	14	"Never-married"	"Exec-managerial"	"Not-in-family"	"Asian-Pac-Islander"	"Male"	0	0	40	"United-States"	"<=50K"	0
28	"Private"	137898	"HS-grad"	9	"Divorced"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	0	0	35	"United-States"	"<=50K"	0
26	"Private"	66638	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	0	0	50	"United-States"	"<=50K"	0
41	"Local-gov"	195258	"Some-college"	10	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
44	"Private"	115323	"Masters"	14	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
31	"Private"	174201	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	65	"United-States"	"<=50K"	0
43	"Private"	118536	"HS-grad"	9	"Divorced"	"Machine-op-inspct"	"Other-relative"	"Black"	"Male"	0	0	40	"United-States"	"<=50K"	0
62	"Self-emp-not-inc"	39630	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	48	"United-States"	"<=50K"	0
49	"Private"	97411	"7th-8th"	4	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"Asian-Pac-Islander"	"Male"	0	0	45	"Laos"	"<=50K"	0
18	"Private"	345285	"11th"	7	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	0	0	20	"United-States"	"<=50K"	0
