"status_type"	"status_published"	"num_reactions"	"num_comments"	"num_shares"	"num_likes"	"num_loves"	"num_wows"	"num_hahas"	"num_sads"	"num_angrys"	"status_date"	"status_time"	"Cluster"
4	"12/29/2017 7:09"	291	1169	257	161	123	2	4	0	1	279	647	1
4	"5/16/2018 21:02"	328	1094	235	274	51	1	2	0	0	515	311	1
4	"7/22/2017 4:11"	181	2641	131	154	21	4	2	0	0	645	497	1
4	"5/28/2018 8:49"	1215	1131	364	1048	162	3	1	0	1	540	743	1
4	"5/5/2018 6:22"	543	2041	476	445	87	3	8	0	0	552	604	1
4	"2/21/2018 1:14"	169	881	141	83	82	0	4	0	0	327	62	1
4	"5/21/2018 6:18"	1368	1794	718	980	306	74	3	4	1	529	601	1
4	"11/25/2017 1:06"	267	859	426	197	67	0	2	1	0	198	54	1
4	"12/6/2017 1:11"	339	1082	423	213	119	0	6	1	0	287	59	1
4	"1/15/2018 1:08"	239	938	212	163	71	1	3	0	1	19	56	1
4	"11/27/2017 8:30"	172	1056	258	68	100	3	1	0	0	201	724	1
4	"6/7/2018 6:35"	1360	1358	597	978	278	98	5	0	1	614	616	1
4	"5/31/2018 9:06"	1245	1325	352	1026	207	2	6	2	2	547	758	1
4	"1/3/2018 13:02"	101	1753	227	83	15	1	2	0	0	55	201	1
4	"5/24/2018 4:11"	236	2842	431	114	109	1	9	2	1	534	497	1
4	"3/26/2018 7:55"	1874	2478	586	1380	394	6	76	17	1	409	691	1
4	"3/22/2018 3:53"	467	2948	496	295	161	2	4	4	1	398	483	1
4	"5/5/2018 12:15"	305	1724	223	248	49	3	2	2	1	552	186	1
4	"1/16/2018 1:07"	317	1354	169	254	55	3	3	1	1	22	55	1
4	"6/2/2018 7:54"	196	2904	618	139	46	1	5	4	1	579	690	1
4	"11/19/2017 1:51"	271	1516	505	172	93	2	1	3	0	184	93	1
4	"1/29/2018 7:05"	202	1311	175	126	70	2	3	0	1	53	643	1
4	"4/8/2018 8:49"	745	933	236	625	102	4	12	2	0	495	743	1
4	"11/15/2017 7:04"	246	1035	322	191	51	1	3	0	0	175	642	1
4	"1/6/2018 7:05"	354	1119	277	164	187	1	2	0	0	68	643	1
4	"11/30/2017 10:31"	139	2609	154	108	17	4	2	7	1	208	120	1
4	"12/10/2017 12:53"	99	1150	266	69	23	2	4	1	0	228	199	1
4	"5/16/2018 9:23"	1309	1267	413	1006	100	200	3	0	0	515	774	1
4	"6/2/2018 8:44"	958	1249	335	855	97	3	2	1	0	579	738	1
4	"5/29/2018 6:14"	1406	1609	726	1097	221	76	10	1	1	542	597	1
4	"1/2/2018 1:04"	331	1017	285	177	146	1	3	2	2	31	52	1
4	"12/16/2017 7:05"	321	1594	318	164	149	3	1	3	1	242	643	1
4	"8/19/2017 1:01"	112	1540	90	100	10	0	1	1	0	698	49	1
4	"4/8/2018 7:29"	1732	1950	747	1120	409	177	22	1	3	495	667	1
4	"2/2/2018 6:58"	228	1030	192	149	62	0	6	10	1	323	636	1
4	"12/17/2017 1:03"	433	1814	451	269	160	0	3	0	1	245	51	1
4	"1/7/2018 1:13"	349	967	280	188	156	3	2	0	0	70	61	1
4	"11/28/2017 7:25"	307	847	440	183	117	1	6	0	0	202	663	1
4	"1/28/2018 1:11"	173	1214	244	106	64	1	2	0	0	49	59	1
4	"1/23/2018 1:05"	237	1430	243	163	68	2	3	0	1	37	53	1
4	"2/8/2018 7:03"	184	941	162	119	62	0	2	1	0	357	641	1
4	"6/1/2018 6:35"	1119	1585	544	1001	108	3	3	1	3	562	616	1
4	"12/5/2017 1:05"	423	1661	584	266	152	0	2	1	2	286	53	1
4	"6/7/2018 6:35"	126	1641	196	81	42	2	1	0	0	614	616	1
4	"12/4/2017 1:10"	325	798	354	200	120	0	4	0	1	284	58	1
4	"2/26/2018 7:08"	222	1800	183	142	67	3	8	2	0	342	646	1
4	"5/24/2018 8:35"	1312	1765	570	1139	160	7	4	2	0	534	729	1
4	"8/18/2017 11:34"	76	1829	91	69	6	0	0	1	0	696	164	1
4	"4/16/2018 2:07"	239	2574	419	140	95	1	2	1	0	452	240	1
4	"4/21/2018 23:30"	425	1377	186	360	62	0	2	1	0	464	415	1
4	"2/14/2018 22:57"	243	1121	334	191	51	0	0	1	0	305	388	1
4	"2/1/2018 1:08"	165	1630	169	119	42	0	3	1	0	294	56	1
4	"1/19/2018 1:08"	195	1176	209	106	85	1	2	1	0	29	56	1
4	"11/27/2017 1:09"	412	1680	553	255	153	2	2	0	0	201	57	1
4	"11/30/2017 7:05"	306	1259	319	183	119	0	2	1	1	208	643	1
4	"11/19/2017 7:58"	296	1756	422	136	151	1	6	1	1	184	694	1
4	"5/17/2018 9:12"	267	2606	269	227	26	4	7	3	0	518	763	1
4	"12/10/2017 7:05"	385	1651	489	230	146	2	4	2	1	228	643	1
4	"2/28/2018 1:07"	143	1366	203	101	42	0	0	0	0	347	55	1
4	"12/9/2017 7:52"	219	1172	274	114	104	1	0	0	0	291	688	1
4	"11/25/2017 7:06"	407	1374	757	283	117	3	4	0	0	198	644	1
4	"1/18/2018 1:07"	270	898	233	174	91	2	3	0	0	27	55	1
4	"5/19/2018 8:39"	1172	1469	429	1019	132	9	4	6	2	523	733	1
4	"11/18/2017 2:05"	211	948	245	154	57	0	0	0	0	183	238	1
4	"4/6/2018 2:37"	96	1084	266	80	13	2	0	1	0	489	268	1
4	"12/10/2017 2:10"	166	1199	348	131	35	0	0	0	0	228	243	1
4	"8/21/2017 7:56"	199	1805	167	168	24	4	1	2	0	706	692	1
4	"5/11/2018 8:29"	249	2609	572	207	24	12	6	0	0	504	723	1
4	"5/22/2018 10:48"	292	3779	256	165	91	2	33	1	0	530	135	1
4	"1/8/2018 1:08"	212	916	198	131	79	1	1	0	0	73	56	1
4	"12/17/2017 7:05"	355	1249	349	245	100	1	5	1	3	245	643	1
4	"11/14/2017 7:06"	319	3053	403	213	98	4	2	2	0	172	644	1
4	"5/2/2018 8:46"	1041	1151	340	880	141	6	10	2	2	526	740	1
4	"1/16/2018 1:11"	320	2021	362	202	114	2	2	0	0	22	59	1
4	"3/8/2018 7:05"	207	995	191	127	78	1	1	0	0	436	643	1
