"F7"	"FC5"	"T."	"P7"	"O1"	"FC6"	"F8"	"eyeDetect"
4043.08	4117.44	4345.13	4620.51	4070.26	4180	4590.77	0
4015.38	4132.31	4347.18	4615.9	4063.59	4189.23	4608.72	1
4011.28	4109.74	4333.33	4617.44	4075.38	4184.62	4588.72	0
4018.46	4106.67	4353.85	4623.59	4068.72	4204.1	4602.05	0
4021.03	4130.26	4353.85	4624.1	4088.21	4205.64	4590.26	1
3976.41	4111.28	4328.21	4595.9	4039.49	4191.79	4574.87	1
3997.44	4096.92	4336.92	4607.18	4056.92	4191.28	4609.74	1
4043.08	4114.87	4357.95	4626.67	4069.74	4191.79	4604.1	0
3993.85	4092.31	4332.82	4611.28	4051.28	4186.15	4605.13	1
3996.41	4108.72	4331.28	4619.49	4054.36	4211.28	4616.92	0
3992.82	4107.18	4331.28	4614.87	4052.31	4199.49	4597.95	1
4011.79	4105.64	4331.79	4607.69	4042.05	4191.79	4610.26	1
3988.21	4116.92	4335.9	4622.05	4064.1	4198.97	4600	0
4005.64	4107.69	4342.56	4631.28	4087.18	4213.85	4604.62	0
3973.85	4106.67	4328.72	4611.28	4083.08	4191.28	4583.59	0
4005.13	4123.08	4343.59	4630.77	4063.59	4206.15	4591.28	0
4033.33	4104.1	4351.28	4623.59	4067.69	4176.92	4592.82	0
3962.05	4096.41	4347.69	4640	4092.82	4207.69	4612.82	1
4010.77	4111.28	4343.59	4626.67	4083.59	4195.9	4610.77	0
3989.23	4115.38	4331.28	4626.67	4059.49	4175.9	4583.59	0
4024.62	4133.85	4353.33	4616.92	4081.54	4191.28	4569.74	1
3978.97	4108.72	4336.92	4616.92	4065.13	4196.92	4593.33	0
4023.08	4136.41	4333.85	4612.82	4037.95	4192.31	4617.44	1
4048.72	4125.13	4351.28	4630.77	4081.54	4208.72	4617.95	0
4005.13	4138.46	4357.95	4630.26	4056.92	4198.46	4592.31	1
4002.56	4121.54	4337.95	4613.85	4064.1	4197.95	4589.23	0
4002.05	4123.08	4350.77	4606.67	4085.13	4210.26	4621.54	0
3993.33	4107.18	4329.74	4617.44	4085.13	4197.44	4580	1
4025.64	4120.51	4328.72	4613.85	4075.9	4197.44	4587.69	0
4011.79	4105.64	4334.87	4610.77	4055.38	4200	4591.28	1
3975.9	4091.28	4330.26	4608.21	4047.18	4189.23	4588.21	1
4018.97	4138.46	4347.69	4628.72	4085.64	4197.44	4587.18	1
4023.59	4126.67	4338.97	4617.95	4042.56	4198.46	4622.05	1
4003.59	4123.08	4333.85	4603.08	4038.46	4200	4593.33	1
3982.05	4106.15	4327.18	4626.15	4083.08	4208.72	4598.97	0
3985.64	4111.28	4331.79	4617.95	4054.36	4192.82	4594.87	1
3987.69	4113.33	4337.95	4602.05	4045.13	4187.18	4572.82	0
3993.33	4121.03	4343.59	4628.72	4088.72	4214.36	4602.56	1
4003.59	4107.18	4341.54	4621.54	4061.54	4202.05	4598.97	0
3990.26	4108.21	4342.56	4605.13	4067.69	4177.95	4596.92	1
3973.85	4120.51	4331.79	4615.9	4049.23	4188.21	4567.18	1
3987.69	4098.97	4341.03	4627.18	4055.38	4197.44	4602.05	0
4018.46	4138.46	4344.1	4621.54	4086.67	4195.9	4584.62	1
4023.08	4112.82	4349.23	4614.36	4068.21	4199.49	4594.36	1
4009.23	4123.08	4350.77	4631.28	4081.54	4215.38	4627.69	1
4021.03	4112.31	4330.26	4609.23	4069.23	4193.33	4590.26	0
3976.92	4105.64	4335.38	4608.21	4062.05	4187.18	4589.23	0
3966.67	4091.28	4320.51	4609.74	4065.64	4209.74	4597.95	1
3994.87	4113.33	4330.26	4607.69	4040	4189.74	4593.85	1
3978.97	4107.69	4328.21	4601.03	4047.18	4200	4586.15	1
4013.85	4107.18	4320.51	4617.95	4085.13	4180	4570.26	0
3984.62	4092.82	4332.82	4613.33	4094.36	4170.77	4615.9	1
3996.41	4123.59	4333.33	4618.97	4074.36	4194.36	4596.41	0
4049.23	4121.54	4344.1	4623.08	4070.26	4198.46	4608.72	0
3968.21	4105.64	4335.38	4613.33	4070.26	4189.23	4587.18	1
3965.64	4092.82	4317.95	4611.79	4074.87	4187.18	4577.95	0
3990.77	4106.15	4342.05	4617.95	4062.05	4200.51	4597.95	0
4007.18	4109.74	4324.62	4597.95	4085.13	4198.97	4605.64	1
4034.87	4132.31	4337.95	4605.13	4028.72	4205.13	4630.77	1
4008.21	4125.64	4332.82	4615.9	4065.13	4191.79	4608.21	0
4026.15	4133.85	4338.46	4630.77	4053.33	4194.87	4588.21	0
4031.28	4129.74	4332.31	4616.92	4061.03	4182.56	4565.64	1
4043.08	4120	4347.69	4625.13	4076.41	4209.23	4611.79	0
3984.62	4117.44	4336.92	4614.87	4073.85	4190.26	4612.82	1
4002.56	4135.38	4339.49	4602.05	4094.36	4216.41	4628.21	0
4019.49	4135.9	4358.46	4627.18	4100.51	4228.72	4627.69	1
3998.46	4140.51	4329.74	4605.64	4051.79	4220	4606.67	1
3995.38	4105.13	4320.51	4600.51	4062.05	4208.21	4604.62	1
3993.33	4123.59	4341.54	4623.59	4072.82	4204.62	4603.08	0
4016.41	4120	4328.21	4602.56	4068.21	4191.79	4601.03	0
3975.38	4098.46	4327.69	4612.31	4073.85	4199.49	4588.72	0
4040.51	4123.08	4332.82	4611.28	4066.15	4186.67	4614.87	0
4016.41	4131.79	4337.44	4617.44	4083.08	4206.67	4608.21	1
3999.49	4116.41	4341.54	4615.38	4063.08	4172.82	4598.46	1
3983.59	4108.21	4333.33	4612.82	4060	4193.33	4593.33	0
4029.74	4125.64	4346.15	4626.67	4070.77	4209.74	4611.28	0
3986.67	4107.18	4333.33	4601.54	4056.41	4187.69	4577.44	0
4023.08	4135.9	4343.08	4624.62	4069.23	4211.79	4622.05	1
